DATE,WM_WEEK,QTR,Month,FY,TR_PRODUCT,ORG,Org_AD,VP,PILLAR,Application_Name,Cloud,Env,Cost
4/21/24,Week 16,Q2,Apr,2024,Data Lakehouse,Eagle,eagle-team@eagle.net,Bob,Retail,riskengine,AWS,Prod,9112.3253
10/6/24,Week 40,Q4,Oct,2024,ML Platform,Starling,tech@moonbird.io,Alice,Marketing,checkout,GCP,Prod,9732.0675
6/7/24,Week 23,Q2,Jun,2024,Big Data Pipeline,Sunbird,info@starling.org,Bob,Operations,sales,GCP,Stage,9127.9926
9/3/24,Week 36,Q3,Sep,2024,Big Data Pipeline,Sunbird,tech@moonbird.io,Emily,Finance,checkout,AWS,Dev,9321.3706
2/14/25,Week 59,Q1,Feb,2024,Analytics Tools,Moonbird,all@sunbird.com,Alice,Retail,reporting,AWS,Stage,7892.6962
12/15/24,Week 50,Q4,Dec,2024,ML Platform,Eagle,all@sunbird.com,Diana,Operations,sales,Azure,Dev,3900.6157
2/19/24,Week 08,Q1,Feb,2024,ETL/ELT Jobs,Sunbird,eagle-team@eagle.net,Bob,Marketing,riskengine,AWS,Dev,136.0431
2/10/24,Week 06,Q1,Feb,2024,ML Platform,Starling,tech@moonbird.io,Bob,Finance,riskengine,Azure,Stage,4269.4246
11/18/24,Week 47,Q4,Nov,2024,Analytics Tools,Hawk,all@sunbird.com,Charlie,Operations,sales,GCP,Stage,3134.8727
3/27/24,Week 13,Q1,Mar,2024,ML Platform,Hawk,finance@sunbird.com,Bob,Retail,inventory,Azure,Prod,8688.0469
3/20/24,Week 12,Q1,Mar,2024,Big Data Pipeline,Moonbird,eagle-team@eagle.net,Emily,Engineering,sales,GCP,Prod,3463.3842
6/9/24,Week 23,Q2,Jun,2024,ETL/ELT Jobs,Starling,all@sunbird.com,Bob,Retail,sales,AWS,Dev,6742.5079
5/7/24,Week 19,Q2,May,2024,INTL DATA AND ANALYTICS POC,Hawk,info@starling.org,Bob,Operations,riskengine,GCP,Stage,3116.2532
4/7/25,Week 67,Q2,Apr,2024,ETL/ELT Jobs,Sunbird,finance@sunbird.com,Emily,Marketing,sales,GCP,Prod,6338.4941
8/9/24,Week 32,Q3,Aug,2024,ETL/ELT Jobs,Sunbird,tech@moonbird.io,Diana,Engineering,checkout,AWS,Prod,2152.7806
5/22/24,Week 21,Q2,May,2024,Data Lakehouse,Starling,info@starling.org,Emily,Marketing,riskengine,AWS,Prod,3975.2758
2/21/24,Week 08,Q1,Feb,2024,ML Platform,Moonbird,finance@sunbird.com,Charlie,Operations,inventory,Azure,Stage,1415.3741
4/20/25,Week 68,Q2,Apr,2024,Analytics Tools,Starling,all@sunbird.com,Diana,Operations,checkout,GCP,Stage,8710.5452
5/28/24,Week 22,Q2,May,2024,INTL DATA AND ANALYTICS POC,Eagle,info@starling.org,Charlie,Operations,riskengine,Azure,Dev,6544.8565
3/27/25,Week 65,Q1,Mar,2024,Data Lakehouse,Starling,tech@moonbird.io,Bob,Operations,reporting,GCP,Stage,2129.2902
6/13/24,Week 24,Q2,Jun,2024,Analytics Tools,Eagle,all@sunbird.com,Emily,Engineering,reporting,GCP,Prod,5481.1114
4/16/25,Week 68,Q2,Apr,2024,Data Lakehouse,Starling,finance@sunbird.com,Bob,Marketing,checkout,AWS,Prod,7363.7207
4/10/25,Week 67,Q2,Apr,2024,Streaming Analytics,Sunbird,eagle-team@eagle.net,Diana,Marketing,riskengine,Azure,Dev,4136.7285
2/10/25,Week 59,Q1,Feb,2024,INTL DATA AND ANALYTICS POC,Sunbird,finance@sunbird.com,Bob,Operations,sales,Azure,Prod,7500.636
2/10/24,Week 06,Q1,Feb,2024,Big Data Pipeline,Moonbird,info@starling.org,Bob,Operations,reporting,Azure,Dev,112.2035
2/10/24,Week 06,Q1,Feb,2024,Analytics Tools,Moonbird,tech@moonbird.io,Alice,Marketing,sales,Azure,Prod,8848.6423
4/16/25,Week 68,Q2,Apr,2024,Streaming Analytics,Sunbird,tech@moonbird.io,Emily,Engineering,riskengine,GCP,Prod,1305.9821
6/26/24,Week 26,Q2,Jun,2024,Big Data Pipeline,Starling,finance@sunbird.com,Diana,Engineering,inventory,AWS,Dev,6931.6318
5/24/24,Week 21,Q2,May,2024,Data Lakehouse,Hawk,info@starling.org,Emily,Engineering,sales,GCP,Dev,1005.1086
3/1/25,Week 61,Q1,Mar,2024,ML Platform,Starling,tech@moonbird.io,Bob,Marketing,riskengine,AWS,Dev,9006.451
12/13/24,Week 50,Q4,Dec,2024,ETL/ELT Jobs,Sunbird,eagle-team@eagle.net,Bob,Finance,sales,Azure,Prod,994.1912
1/12/25,Week 54,Q1,Jan,2024,ETL/ELT Jobs,Moonbird,info@starling.org,Charlie,Engineering,checkout,AWS,Dev,9596.4172
3/12/24,Week 11,Q1,Mar,2024,Analytics Tools,Hawk,all@sunbird.com,Emily,Engineering,reporting,GCP,Prod,2473.7741
6/30/24,Week 26,Q2,Jun,2024,Data Lakehouse,Sunbird,info@starling.org,Bob,Retail,sales,GCP,Prod,5767.2344
3/29/24,Week 13,Q1,Mar,2024,Analytics Tools,Eagle,tech@moonbird.io,Charlie,Engineering,checkout,Azure,Prod,8180.5485
10/3/24,Week 40,Q4,Oct,2024,Big Data Pipeline,Eagle,all@sunbird.com,Charlie,Operations,checkout,AWS,Prod,670.3526
5/28/24,Week 22,Q2,May,2024,INTL DATA AND ANALYTICS POC,Eagle,eagle-team@eagle.net,Bob,Finance,sales,GCP,Dev,9198.4575
3/9/24,Week 10,Q1,Mar,2024,Analytics Tools,Moonbird,tech@moonbird.io,Diana,Finance,riskengine,AWS,Dev,6350.2469
4/14/24,Week 15,Q2,Apr,2024,ML Platform,Starling,info@starling.org,Bob,Retail,reporting,AWS,Stage,7629.9094
7/1/24,Week 27,Q3,Jul,2024,ETL/ELT Jobs,Moonbird,info@starling.org,Alice,Marketing,riskengine,GCP,Prod,1036.8763
6/11/24,Week 24,Q2,Jun,2024,Streaming Analytics,Hawk,tech@moonbird.io,Charlie,Retail,riskengine,Azure,Prod,2253.6146
8/28/24,Week 35,Q3,Aug,2024,ML Platform,Moonbird,eagle-team@eagle.net,Emily,Engineering,inventory,Azure,Stage,7333.3369
3/31/25,Week 66,Q1,Mar,2024,Analytics Tools,Hawk,all@sunbird.com,Diana,Retail,sales,GCP,Prod,3123.7104
9/23/24,Week 39,Q3,Sep,2024,Big Data Pipeline,Eagle,finance@sunbird.com,Charlie,Engineering,checkout,AWS,Prod,1544.2403
3/29/25,Week 65,Q1,Mar,2024,Data Lakehouse,Starling,eagle-team@eagle.net,Emily,Retail,reporting,Azure,Prod,824.4515
5/14/24,Week 20,Q2,May,2024,Big Data Pipeline,Sunbird,finance@sunbird.com,Alice,Engineering,riskengine,GCP,Stage,6617.3273
10/27/24,Week 43,Q4,Oct,2024,ML Platform,Starling,finance@sunbird.com,Charlie,Marketing,riskengine,AWS,Stage,429.0234
1/16/24,Week 03,Q1,Jan,2024,ETL/ELT Jobs,Starling,all@sunbird.com,Bob,Engineering,reporting,GCP,Dev,4649.4493
1/12/25,Week 54,Q1,Jan,2024,INTL DATA AND ANALYTICS POC,Starling,eagle-team@eagle.net,Emily,Engineering,inventory,AWS,Stage,7736.6601
10/19/24,Week 42,Q4,Oct,2024,Analytics Tools,Sunbird,eagle-team@eagle.net,Emily,Retail,riskengine,GCP,Stage,6870.1213
3/26/25,Week 65,Q1,Mar,2024,Streaming Analytics,Starling,info@starling.org,Alice,Operations,sales,GCP,Stage,5956.2179
2/7/25,Week 58,Q1,Feb,2024,Analytics Tools,Moonbird,eagle-team@eagle.net,Diana,Operations,sales,Azure,Prod,271.5011
2/21/25,Week 60,Q1,Feb,2024,ML Platform,Starling,info@starling.org,Alice,Marketing,inventory,GCP,Prod,6632.0692
3/16/25,Week 63,Q1,Mar,2024,ETL/ELT Jobs,Hawk,all@sunbird.com,Charlie,Operations,checkout,GCP,Prod,3330.2172
7/23/24,Week 30,Q3,Jul,2024,Analytics Tools,Eagle,info@starling.org,Diana,Finance,riskengine,Azure,Stage,6971.643
8/19/24,Week 34,Q3,Aug,2024,ML Platform,Eagle,finance@sunbird.com,Charlie,Marketing,reporting,Azure,Dev,2689.7547
4/30/25,Week 70,Q2,Apr,2024,Data Lakehouse,Moonbird,all@sunbird.com,Emily,Retail,riskengine,AWS,Dev,1913.3602
4/6/25,Week 66,Q2,Apr,2024,Analytics Tools,Hawk,eagle-team@eagle.net,Bob,Engineering,riskengine,GCP,Prod,4973.0806
2/3/24,Week 05,Q1,Feb,2024,Streaming Analytics,Eagle,eagle-team@eagle.net,Emily,Marketing,sales,GCP,Dev,5906.7145
5/31/24,Week 22,Q2,May,2024,INTL DATA AND ANALYTICS POC,Hawk,eagle-team@eagle.net,Diana,Operations,riskengine,Azure,Dev,7859.778
11/28/24,Week 48,Q4,Nov,2024,Data Lakehouse,Sunbird,all@sunbird.com,Charlie,Engineering,inventory,Azure,Prod,5313.9173
10/11/24,Week 41,Q4,Oct,2024,Streaming Analytics,Eagle,all@sunbird.com,Charlie,Operations,riskengine,GCP,Prod,8779.959
5/28/24,Week 22,Q2,May,2024,ML Platform,Starling,eagle-team@eagle.net,Emily,Engineering,riskengine,Azure,Dev,7183.0995
9/23/24,Week 39,Q3,Sep,2024,Big Data Pipeline,Moonbird,eagle-team@eagle.net,Emily,Finance,sales,GCP,Prod,5042.3049
2/19/24,Week 08,Q1,Feb,2024,Analytics Tools,Hawk,all@sunbird.com,Emily,Operations,sales,Azure,Dev,72.6892
6/22/24,Week 25,Q2,Jun,2024,Streaming Analytics,Eagle,tech@moonbird.io,Diana,Marketing,riskengine,GCP,Dev,8287.2215
6/12/24,Week 24,Q2,Jun,2024,Data Lakehouse,Eagle,eagle-team@eagle.net,Emily,Engineering,reporting,Azure,Prod,7887.5116
1/23/24,Week 04,Q1,Jan,2024,Big Data Pipeline,Hawk,finance@sunbird.com,Bob,Retail,sales,Azure,Stage,4130.8618
3/24/25,Week 65,Q1,Mar,2024,Analytics Tools,Hawk,all@sunbird.com,Charlie,Finance,sales,AWS,Dev,4249.1999
4/15/25,Week 68,Q2,Apr,2024,ETL/ELT Jobs,Moonbird,info@starling.org,Diana,Marketing,checkout,Azure,Prod,7079.4519
8/31/24,Week 35,Q3,Aug,2024,ETL/ELT Jobs,Starling,info@starling.org,Charlie,Marketing,inventory,Azure,Dev,51.049
2/19/24,Week 08,Q1,Feb,2024,Streaming Analytics,Hawk,info@starling.org,Emily,Engineering,riskengine,GCP,Stage,5101.0312
2/26/24,Week 09,Q1,Feb,2024,INTL DATA AND ANALYTICS POC,Sunbird,tech@moonbird.io,Diana,Retail,inventory,Azure,Prod,1830.408
10/29/24,Week 44,Q4,Oct,2024,INTL DATA AND ANALYTICS POC,Hawk,eagle-team@eagle.net,Bob,Marketing,inventory,Azure,Stage,246.4668
12/22/24,Week 51,Q4,Dec,2024,ML Platform,Moonbird,info@starling.org,Diana,Retail,checkout,AWS,Stage,6561.0289
3/19/25,Week 64,Q1,Mar,2024,Analytics Tools,Starling,info@starling.org,Charlie,Finance,checkout,AWS,Prod,4633.8556
12/29/24,Week 52,Q4,Dec,2024,INTL DATA AND ANALYTICS POC,Sunbird,all@sunbird.com,Bob,Operations,riskengine,Azure,Dev,1184.5709
7/1/24,Week 27,Q3,Jul,2024,Streaming Analytics,Hawk,tech@moonbird.io,Alice,Operations,inventory,AWS,Stage,5981.7925
4/2/24,Week 14,Q2,Apr,2024,ML Platform,Starling,eagle-team@eagle.net,Emily,Engineering,riskengine,Azure,Dev,3796.6603
7/18/24,Week 29,Q3,Jul,2024,INTL DATA AND ANALYTICS POC,Eagle,finance@sunbird.com,Charlie,Retail,reporting,GCP,Stage,2715.1358
3/15/25,Week 63,Q1,Mar,2024,Streaming Analytics,Sunbird,tech@moonbird.io,Charlie,Engineering,reporting,Azure,Prod,131.4556
7/16/24,Week 29,Q3,Jul,2024,ML Platform,Eagle,finance@sunbird.com,Charlie,Operations,reporting,AWS,Prod,6353.33
8/24/24,Week 34,Q3,Aug,2024,INTL DATA AND ANALYTICS POC,Moonbird,all@sunbird.com,Emily,Finance,reporting,GCP,Stage,9159.2599
1/25/25,Week 56,Q1,Jan,2024,Big Data Pipeline,Starling,info@starling.org,Emily,Marketing,reporting,GCP,Prod,3979.4808
7/11/24,Week 28,Q3,Jul,2024,Big Data Pipeline,Starling,tech@moonbird.io,Bob,Engineering,riskengine,Azure,Stage,5094.1763
4/12/24,Week 15,Q2,Apr,2024,ETL/ELT Jobs,Starling,finance@sunbird.com,Charlie,Finance,checkout,Azure,Prod,8681.3946
12/2/24,Week 49,Q4,Dec,2024,Big Data Pipeline,Starling,info@starling.org,Alice,Operations,inventory,Azure,Prod,4181.8216
7/17/24,Week 29,Q3,Jul,2024,INTL DATA AND ANALYTICS POC,Hawk,info@starling.org,Charlie,Engineering,riskengine,Azure,Stage,7834.7926
8/5/24,Week 32,Q3,Aug,2024,Streaming Analytics,Sunbird,tech@moonbird.io,Alice,Operations,sales,GCP,Dev,5927.659
12/7/24,Week 49,Q4,Dec,2024,Data Lakehouse,Eagle,finance@sunbird.com,Charlie,Operations,riskengine,GCP,Prod,9001.372
5/24/24,Week 21,Q2,May,2024,Data Lakehouse,Starling,all@sunbird.com,Bob,Marketing,sales,AWS,Prod,4704.7593
8/28/24,Week 35,Q3,Aug,2024,INTL DATA AND ANALYTICS POC,Starling,info@starling.org,Diana,Operations,reporting,AWS,Dev,1880.5581
7/7/24,Week 27,Q3,Jul,2024,ETL/ELT Jobs,Starling,finance@sunbird.com,Alice,Engineering,checkout,AWS,Stage,1385.6643
4/13/24,Week 15,Q2,Apr,2024,Analytics Tools,Hawk,all@sunbird.com,Diana,Operations,riskengine,GCP,Stage,7329.2352
1/29/24,Week 05,Q1,Jan,2024,ML Platform,Eagle,all@sunbird.com,Bob,Retail,inventory,AWS,Prod,6908.6017
7/27/24,Week 30,Q3,Jul,2024,Analytics Tools,Moonbird,info@starling.org,Charlie,Marketing,checkout,AWS,Dev,526.5874
10/25/24,Week 43,Q4,Oct,2024,ML Platform,Starling,finance@sunbird.com,Bob,Finance,inventory,Azure,Stage,181.6114
4/3/24,Week 14,Q2,Apr,2024,INTL DATA AND ANALYTICS POC,Sunbird,eagle-team@eagle.net,Diana,Finance,checkout,Azure,Stage,9252.4179
11/19/24,Week 47,Q4,Nov,2024,ML Platform,Moonbird,tech@moonbird.io,Alice,Marketing,riskengine,GCP,Prod,9495.1272
4/21/25,Week 69,Q2,Apr,2024,Data Lakehouse,Hawk,all@sunbird.com,Bob,Engineering,sales,GCP,Dev,9535.816
2/3/25,Week 58,Q1,Feb,2024,Data Lakehouse,Moonbird,finance@sunbird.com,Charlie,Finance,inventory,GCP,Prod,3856.2397
8/28/24,Week 35,Q3,Aug,2024,ML Platform,Sunbird,eagle-team@eagle.net,Emily,Retail,riskengine,GCP,Prod,4553.2546
4/1/25,Week 66,Q2,Apr,2024,Big Data Pipeline,Moonbird,tech@moonbird.io,Emily,Engineering,riskengine,Azure,Prod,7685.4309
12/3/24,Week 49,Q4,Dec,2024,Analytics Tools,Eagle,info@starling.org,Bob,Engineering,riskengine,GCP,Prod,8785.1816
5/29/24,Week 22,Q2,May,2024,Big Data Pipeline,Eagle,all@sunbird.com,Bob,Operations,riskengine,GCP,Dev,3267.2814
7/18/24,Week 29,Q3,Jul,2024,Data Lakehouse,Eagle,info@starling.org,Diana,Marketing,reporting,GCP,Dev,3905.9383
3/7/24,Week 10,Q1,Mar,2024,INTL DATA AND ANALYTICS POC,Sunbird,finance@sunbird.com,Emily,Marketing,sales,GCP,Prod,7998.5619
10/31/24,Week 44,Q4,Oct,2024,ML Platform,Sunbird,finance@sunbird.com,Diana,Marketing,checkout,Azure,Stage,3891.7672
8/27/24,Week 35,Q3,Aug,2024,ETL/ELT Jobs,Sunbird,info@starling.org,Emily,Engineering,checkout,GCP,Prod,6846.3057
4/17/24,Week 16,Q2,Apr,2024,Streaming Analytics,Hawk,tech@moonbird.io,Charlie,Engineering,riskengine,Azure,Prod,7706.0735
11/2/24,Week 44,Q4,Nov,2024,Big Data Pipeline,Hawk,finance@sunbird.com,Diana,Operations,reporting,Azure,Prod,1301.3952
8/24/24,Week 34,Q3,Aug,2024,ETL/ELT Jobs,Starling,tech@moonbird.io,Diana,Marketing,sales,Azure,Dev,4939.4971
6/8/24,Week 23,Q2,Jun,2024,Big Data Pipeline,Eagle,eagle-team@eagle.net,Diana,Finance,reporting,GCP,Prod,1255.517
2/26/25,Week 61,Q1,Feb,2024,INTL DATA AND ANALYTICS POC,Moonbird,eagle-team@eagle.net,Charlie,Retail,checkout,GCP,Stage,8411.5338
2/14/25,Week 59,Q1,Feb,2024,Data Lakehouse,Eagle,finance@sunbird.com,Bob,Operations,riskengine,GCP,Stage,4515.3308
4/12/25,Week 67,Q2,Apr,2024,INTL DATA AND ANALYTICS POC,Moonbird,info@starling.org,Charlie,Finance,checkout,AWS,Dev,8949.3237
12/28/24,Week 52,Q4,Dec,2024,Streaming Analytics,Hawk,eagle-team@eagle.net,Emily,Finance,checkout,GCP,Prod,1168.4746
1/14/24,Week 02,Q1,Jan,2024,Analytics Tools,Moonbird,tech@moonbird.io,Bob,Finance,checkout,AWS,Dev,4620.3704
11/14/24,Week 46,Q4,Nov,2024,INTL DATA AND ANALYTICS POC,Starling,all@sunbird.com,Charlie,Finance,inventory,Azure,Prod,3893.9388
1/25/24,Week 04,Q1,Jan,2024,Big Data Pipeline,Sunbird,eagle-team@eagle.net,Diana,Engineering,checkout,AWS,Prod,7553.2606
4/21/24,Week 16,Q2,Apr,2024,Data Lakehouse,Hawk,info@starling.org,Emily,Finance,inventory,GCP,Dev,8879.488
6/12/24,Week 24,Q2,Jun,2024,ML Platform,Sunbird,all@sunbird.com,Bob,Retail,reporting,GCP,Dev,6294.6407
5/22/24,Week 21,Q2,May,2024,ETL/ELT Jobs,Moonbird,eagle-team@eagle.net,Alice,Retail,reporting,Azure,Prod,7982.3503
1/25/25,Week 56,Q1,Jan,2024,Big Data Pipeline,Moonbird,finance@sunbird.com,Alice,Finance,reporting,AWS,Dev,4984.4363
2/8/25,Week 58,Q1,Feb,2024,Big Data Pipeline,Eagle,info@starling.org,Bob,Marketing,inventory,AWS,Stage,8841.9285
12/30/24,Week 53,Q4,Dec,2024,ML Platform,Sunbird,eagle-team@eagle.net,Charlie,Finance,riskengine,Azure,Dev,8735.2119
2/23/24,Week 08,Q1,Feb,2024,ML Platform,Sunbird,tech@moonbird.io,Charlie,Operations,reporting,Azure,Stage,9560.4403
12/1/24,Week 48,Q4,Dec,2024,Data Lakehouse,Sunbird,info@starling.org,Diana,Engineering,checkout,Azure,Prod,518.7147
8/5/24,Week 32,Q3,Aug,2024,Streaming Analytics,Moonbird,eagle-team@eagle.net,Diana,Marketing,sales,GCP,Stage,1039.7703
1/30/24,Week 05,Q1,Jan,2024,ETL/ELT Jobs,Eagle,tech@moonbird.io,Alice,Finance,inventory,AWS,Dev,6146.3947
3/4/25,Week 62,Q1,Mar,2024,Analytics Tools,Eagle,eagle-team@eagle.net,Bob,Marketing,riskengine,GCP,Prod,2106.2667
9/11/24,Week 37,Q3,Sep,2024,Data Lakehouse,Hawk,info@starling.org,Emily,Operations,sales,GCP,Prod,5100.5262
2/12/25,Week 59,Q1,Feb,2024,Streaming Analytics,Starling,eagle-team@eagle.net,Emily,Marketing,inventory,AWS,Prod,5669.7225
5/11/24,Week 19,Q2,May,2024,Streaming Analytics,Hawk,finance@sunbird.com,Emily,Operations,riskengine,AWS,Dev,3395.5666
7/10/24,Week 28,Q3,Jul,2024,Analytics Tools,Hawk,all@sunbird.com,Charlie,Finance,reporting,GCP,Stage,4959.5041
10/17/24,Week 42,Q4,Oct,2024,Analytics Tools,Starling,eagle-team@eagle.net,Emily,Engineering,sales,Azure,Stage,2032.041
3/1/25,Week 61,Q1,Mar,2024,ETL/ELT Jobs,Starling,info@starling.org,Charlie,Operations,inventory,AWS,Stage,2727.0214
8/16/24,Week 33,Q3,Aug,2024,Big Data Pipeline,Sunbird,info@starling.org,Bob,Finance,checkout,GCP,Dev,8180.6076
8/5/24,Week 32,Q3,Aug,2024,INTL DATA AND ANALYTICS POC,Hawk,all@sunbird.com,Diana,Retail,sales,Azure,Dev,8903.8224
7/6/24,Week 27,Q3,Jul,2024,Big Data Pipeline,Starling,all@sunbird.com,Bob,Operations,inventory,AWS,Stage,138.9517
3/14/24,Week 11,Q1,Mar,2024,Big Data Pipeline,Eagle,finance@sunbird.com,Diana,Operations,riskengine,AWS,Prod,4328.7165
1/30/24,Week 05,Q1,Jan,2024,ETL/ELT Jobs,Sunbird,all@sunbird.com,Diana,Finance,sales,Azure,Stage,7842.3253
5/24/24,Week 21,Q2,May,2024,Data Lakehouse,Starling,finance@sunbird.com,Bob,Retail,checkout,AWS,Prod,4724.0104
9/30/24,Week 40,Q3,Sep,2024,ETL/ELT Jobs,Starling,eagle-team@eagle.net,Emily,Engineering,checkout,Azure,Prod,9129.7342
3/16/25,Week 63,Q1,Mar,2024,Streaming Analytics,Moonbird,finance@sunbird.com,Diana,Operations,checkout,Azure,Dev,7758.6519
5/2/24,Week 18,Q2,May,2024,Big Data Pipeline,Hawk,eagle-team@eagle.net,Bob,Finance,inventory,GCP,Prod,2305.7749
8/15/24,Week 33,Q3,Aug,2024,Analytics Tools,Hawk,all@sunbird.com,Alice,Marketing,reporting,AWS,Stage,161.2162
2/18/24,Week 07,Q1,Feb,2024,ML Platform,Eagle,all@sunbird.com,Emily,Operations,inventory,GCP,Stage,4732.2945
7/22/24,Week 30,Q3,Jul,2024,Streaming Analytics,Sunbird,finance@sunbird.com,Emily,Operations,sales,AWS,Stage,7215.1981
12/22/24,Week 51,Q4,Dec,2024,Data Lakehouse,Eagle,all@sunbird.com,Alice,Operations,riskengine,AWS,Stage,2645.2306
4/8/24,Week 15,Q2,Apr,2024,ETL/ELT Jobs,Starling,info@starling.org,Alice,Finance,reporting,GCP,Dev,7504.4157
1/31/24,Week 05,Q1,Jan,2024,INTL DATA AND ANALYTICS POC,Sunbird,tech@moonbird.io,Bob,Marketing,checkout,AWS,Prod,2765.0577
10/30/24,Week 44,Q4,Oct,2024,INTL DATA AND ANALYTICS POC,Moonbird,tech@moonbird.io,Charlie,Finance,checkout,GCP,Prod,7336.1425
1/2/24,Week 01,Q1,Jan,2024,INTL DATA AND ANALYTICS POC,Hawk,finance@sunbird.com,Diana,Retail,sales,GCP,Stage,5259.5255
3/30/24,Week 13,Q1,Mar,2024,ETL/ELT Jobs,Starling,finance@sunbird.com,Alice,Engineering,sales,Azure,Dev,5046.7345
6/15/24,Week 24,Q2,Jun,2024,INTL DATA AND ANALYTICS POC,Sunbird,tech@moonbird.io,Diana,Finance,reporting,GCP,Prod,9500.0543
2/23/24,Week 08,Q1,Feb,2024,ML Platform,Moonbird,tech@moonbird.io,Bob,Retail,sales,GCP,Prod,3629.9763
1/6/24,Week 01,Q1,Jan,2024,Streaming Analytics,Starling,info@starling.org,Bob,Retail,reporting,Azure,Dev,6640.317
12/16/24,Week 51,Q4,Dec,2024,Analytics Tools,Starling,finance@sunbird.com,Diana,Engineering,inventory,Azure,Dev,6073.4451
1/1/25,Week 53,Q1,Jan,2024,ETL/ELT Jobs,Starling,info@starling.org,Alice,Marketing,inventory,Azure,Dev,4732.7681
5/18/24,Week 20,Q2,May,2024,Analytics Tools,Moonbird,eagle-team@eagle.net,Alice,Retail,riskengine,AWS,Prod,1038.5398
4/28/25,Week 70,Q2,Apr,2024,Big Data Pipeline,Moonbird,info@starling.org,Emily,Operations,inventory,Azure,Stage,6012.3664
3/15/24,Week 11,Q1,Mar,2024,INTL DATA AND ANALYTICS POC,Hawk,info@starling.org,Charlie,Operations,riskengine,Azure,Stage,8035.4988
1/3/25,Week 53,Q1,Jan,2024,ML Platform,Starling,info@starling.org,Diana,Operations,checkout,GCP,Prod,9596.977
2/7/24,Week 06,Q1,Feb,2024,Big Data Pipeline,Sunbird,all@sunbird.com,Diana,Finance,checkout,GCP,Stage,5949.4736
2/16/25,Week 59,Q1,Feb,2024,Streaming Analytics,Hawk,info@starling.org,Emily,Operations,sales,GCP,Stage,3447.2211
3/17/24,Week 11,Q1,Mar,2024,ETL/ELT Jobs,Eagle,info@starling.org,Alice,Retail,reporting,AWS,Dev,5654.5798
1/12/24,Week 02,Q1,Jan,2024,Data Lakehouse,Hawk,tech@moonbird.io,Emily,Engineering,checkout,AWS,Dev,930.7016
10/20/24,Week 42,Q4,Oct,2024,Data Lakehouse,Hawk,all@sunbird.com,Charlie,Finance,inventory,Azure,Dev,5225.1813
3/1/24,Week 09,Q1,Mar,2024,Streaming Analytics,Eagle,tech@moonbird.io,Emily,Engineering,riskengine,GCP,Prod,2674.8183
12/30/24,Week 53,Q4,Dec,2024,Big Data Pipeline,Eagle,finance@sunbird.com,Emily,Retail,inventory,GCP,Dev,6240.8743
6/13/24,Week 24,Q2,Jun,2024,Analytics Tools,Starling,info@starling.org,Alice,Retail,reporting,AWS,Stage,4720.3016
1/5/24,Week 01,Q1,Jan,2024,INTL DATA AND ANALYTICS POC,Starling,tech@moonbird.io,Alice,Operations,inventory,AWS,Prod,1907.4453
